1.CodigoDeArticulo,Código del Departamento ,Código de Familia,2.CodigoDeCelda,3.StockB,4.StockA,5.Stock,6.ALM,7.stock,8.almacen,9.Familia,10.Subfamilia,11.Descripcion,12:Empresa,13.TipoCelda,14.Clasificacion
WW_NUEVO_25,MARKWINS,WET N WILD,VALL.G.06.37.01,0,00,0,00,2,00,WET N WILD,MUEBLES,MUEBLE 2025,GALAN,,SP
WW_NUEVO_25,MARKWINS,WET N WILD,VALL.G.06.28.01,0,00,0,00,1,00,WET N WILD,MUEBLES,MUEBLE 2025,GALAN,,SP
WW_USADO2024,MARKWINS,WET N WILD,VALL.G.03.34.01,0,00,0,00,1,00,WET N WILD,MUEBLES,WET N WILD 2024 _DRUNI EL ROSAL,GALAN,,SP
WW_ZOCALO,MARKWINS,WET N WILD,VALL.G.06.06.01,0,00,0,00,3,00,WET N WILD,ELEMENTOS,ZOCALO WET N WILD,GALAN,,SP
WWCONVKIT23,MARKWINS,WET N WILD,VALL.G.06.56.01,0,00,0,00,1,00,WET N WILD,ELEMENTOS,WET N WILD KIT CONVERSION 2023,GALAN,,SP
X9999011290,COSMETIX,ESSENCE,VALL.G.07.16.01,0,00,0,00,5,00,ESSENCE,ELEMENTOS,ACT 03-26,GALAN,,SP
XF-PO2-C,APPLE,,APPLE.15,0,00,0,00,26,00,,ELEMENTOS,TAPON DE MESA CON AGUJERO,GALAN,,SP
XF-PO2-C-1,APPLE,,APPLE.15,0,00,0,00,8,00,,ELEMENTOS,TAPON MESA SIN AGUJERO,GALAN,,SP
XG030725,COTY,MAXFACTOR,TAULA2,0,00,0,00,1,00,MAXFACTOR,ELEMENTOS,KIT H2FY25,GALAN,,SP
XG150725.1,COTY,VARIAS,VALL.G.04.44.01,0,00,0,00,4,00,VARIAS,ELEMENTOS,KITS H2FY25 RIMMEL Y MAX FACTOR,GALAN,,SP
XG150725.2,COTY,VARIAS,VALL.G.06.11.01,0,00,0,00,4,00,VARIAS,ELEMENTOS,KITS H1FY25 RIMMEL Y MAX FACTOR,GALAN,,SP
XG3006.1,COTY,RIMMEL,VALL.G.07.14.01,0,00,0,00,2,00,RIMMEL,ELEMENTOS,KITS MIBAR 2M H2FY25,GALAN,,SP
XG3006.2,COTY,RIMMEL,VALL.G.07.01.01,0,00,0,00,2,00,RIMMEL,ELEMENTOS,KITS MIBAR 2M H1FY25,GALAN,,SP
YC11,APPLE,,APPLE.14,0,00,0,00,2,00,,ELEMENTOS,InVue Power Cable - C7 AC Power Cable EU,GALAN,,SP
Z667-0932_CH,APPLE,,AL.09,0,00,0,00,1,00,,ELEMENTOS,AC Duckhead - Euro,GALAN,,SP
Z677-0932,APPLE,APPLE,X,0,00,0,00,33,00,APPLE,ELEMENTOS,AC Duckhead - Euro,GALAN,,SP
Z677-0932_CH,APPLE,,X,0,00,0,00,1,00,,ELEMENTOS,AC Duckhead - Euro,GALAN,,SP
ZAPATILLAS SEGURIDAD,APPLE,,APPLE.06,0,00,0,00,1,00,,ELEMENTOS,ZAPATILLAS SEGURIDAD,GALAN,,SP
